image_name	bandwidth	nb_cluster	cluster_centers
621606201_MS0039_0010_0.jpg	5.0	7	[[129.5132867132867, 135.45034965034964], [115.3203125, 136.6796875], [141.7826086956522, 143.0], [150.2, 148.2], [162.0, 161.0], [155.0, 157.0], [129.5, 120.0]]
621606201_MS0039_0067_0.jpg	10	4	[[129.9090909090909, 132.1715542521994], [113.42424242424242, 130.71969696969697], [158.25, 160.25925925925927], [148.18666666666667, 148.81333333333333]]
621606201_MS0039_0120_0.jpg	5.0	9	[[129.09175531914894, 132.82047872340425], [110.65151515151516, 133.62121212121212], [117.80555555555556, 132.94444444444446], [157.55555555555554, 158.16666666666666], [144.8235294117647, 146.64705882352942], [141.0, 142.75], [161.0, 163.8], [156.66666666666666, 149.0], [161.5, 170.0]]
621606201_MS0039_0170_0.jpg	5.0	7	[[129.85737704918031, 132.42459016393443], [113.2603550295858, 131.14792899408283], [135.30232558139534, 136.8372093023256], [147.11111111111111, 147.72222222222223], [155.21428571428572, 154.71428571428572], [138.5, 125.5], [161.0, 172.0]]
