image_name	bandwidth	nb_cluster	cluster_centers
621606201_MS0101_0006_0.jpg	5.0	7	[[130.66201550387598, 139.3829457364341], [116.26168224299066, 140.79439252336448], [158.2340425531915, 159.10638297872342], [154.52173913043478, 155.08695652173913], [142.11627906976744, 146.58139534883722], [148.17948717948718, 149.89743589743588], [132.0, 125.0]]
621606201_MS0101_0021_0.jpg	5.0	9	[[129.77291960507756, 132.65303244005642], [111.51937984496124, 131.48062015503876], [136.7058823529412, 139.47058823529412], [146.06896551724137, 145.44827586206895], [141.76, 142.84], [120.72, 131.68], [150.7826086956522, 149.2173913043478], [154.23529411764707, 154.58823529411765], [167.0, 161.0]]
621606201_MS0101_0070_0.jpg	5.0	4	[[130.94281729428172, 136.3486750348675], [114.10989010989012, 130.98901098901098], [158.54, 158.96], [139.76923076923077, 143.02564102564102]]
621606201_MS0101_0092_0.jpg	5.0	7	[[130.13274336283186, 138.5796460176991], [113.3, 133.12222222222223], [137.65, 141.65], [144.64285714285714, 146.14285714285714], [147.7, 150.2], [153.0, 152.5], [158.2, 156.8]]
