image_name	bandwidth	nb_cluster	cluster_centers
621606201_MS0131_0006_1.jpg	10	4	[[130.5254691689008, 137.59919571045577], [131.16666666666666, 106.74509803921569], [149.27777777777777, 147.61111111111111], [158.52941176470588, 153.52941176470588]]
621606201_MS0131_0007_0.jpg	10	4	[[130.51388888888889, 140.04050925925927], [129.91666666666666, 125.5], [159.57894736842104, 156.28947368421052], [147.54545454545453, 149.27272727272728]]
621606201_MS0131_0076_0.jpg	5.0	5	[[129.3127572016461, 129.50068587105625], [156.6315789473684, 151.13684210526316], [142.19230769230768, 138.92307692307693], [131.57692307692307, 109.38461538461539], [132.15, 102.9]]
621606201_MS0131_0124_0.jpg	10	4	[[129.3546441495778, 130.8769601930036], [131.66153846153847, 103.50769230769231], [129.84615384615384, 114.71794871794872], [154.24137931034483, 147.6206896551724]]
