image_name	bandwidth	nb_cluster	cluster_centers
627656201_MS0089_0007_0.jpg	10	4	[[130.22972972972974, 139.11891891891892], [135.2941176470588, 160.88235294117646], [152.8, 148.6], [136.0, 98.0]]
627656201_MS0089_0027_0.jpg	10	5	[[129.41149773071103, 138.83812405446292], [133.96350364963504, 162.45985401459853], [112.5, 134.88709677419354], [163.20833333333334, 154.77083333333334], [128.71428571428572, 110.35714285714286]]
627656201_MS0089_0035_0.jpg	10	5	[[129.12593703148426, 136.88455772113943], [135.55172413793105, 167.16379310344828], [115.1948051948052, 135.80519480519482], [127.1063829787234, 114.68085106382979], [166.60526315789474, 157.18421052631578]]
627656201_MS0089_0073_0.jpg	10	6	[[128.9505582137161, 135.87240829346092], [134.64596273291926, 162.3664596273292], [114.59493670886076, 134.13924050632912], [127.78, 116.76], [170.05263157894737, 159.78947368421052], [155.33333333333334, 150.0]]
